Matilde Rubio Bonilla,953008920
Ángel Zúñiga Narváez,922 016 728
Anni Jaramillo Miramontes,947 921 420
Laura Mayorga Mercado,972.836.334
Matilde Palomo Alemán,990 903 262
Sr. Sergi Palacios Carrera,976.585.863
Roser Godínez Verduzco,998 813 900
Manuel Salcedo Escobar,943.249.595
Anni Macías Covarrubias,904021751
Manuel Espinoza Regalado,988 383 801
Sergi Macías Gálvez,991-526-402
María de los Ángeles Armas Delacrúz,958.327.732
Miguel Orellana Solorio,906435454
Maica Holguín Noriega,927 911 208
Anni Solano Gutiérrez,945 432 505
Juan Ramón Romo Soliz,938921126
Ángel Rocha Linares,934-781-215
Ángel Colunga Fuentes,955188110
Daniel Murillo de Jesús,905.112.461
Josep Montalvo Macías,992 114 097
Pío Torres Ureña,924260808
Jennifer Véliz Cruz,900940694
Andrea Roque Espino,913378261
Carles Solorzano Espinal,975273123
Iván Laureano Arreola,933.567.269
Pedro Cerda Cedillo,957-021-830
Ana Cerda Villarreal,992 225 886
Ana Matos Toledo,953.798.271
Maica Oquendo Roque,994-028-638
Lorena Reyes Espinal,970 232 699
María de los Ángeles Betancourt Venegas,983-053-941
Pedro Molina Cornejo,928 370 473
Manuel Macías Olmos,902179907
Laura Llamas Madrigal,906 849 311
Manuel Mata Caballero,938-499-570
María de los Ángeles Olivo Moya,996 863 278
Lorena Meza Mateo,917 228 098
Andrea Casillas Alemán,924.349.593
Andrea Salazar Altamirano,954-939-734
Iván Granados Estévez,969-525-609
Sta. Matilde Mondragón Chacón,927-058-221
Juan Ramón Arce Leiva,944 303 736
María de los Ángeles Maya Jaimes,980.707.350
Anni Cortéz Amaya,944.124.994
Sra. Ana Fonseca Sisneros,947-571-151
Andrea Verdugo Campos,938.790.474
Sr. Salvador Casares Arevalo,979442132
Sr. Hermenegildo Villalobos Valenzuela,930.599.883
Anni Cárdenas Abrego,945.015.268
Hermenegildo Pichardo Montalvo,914020928
María de los Ángeles Calderón Briseño,971 008 738
Maica Padrón Prado,961378498
Pedro Tejada Ramírez,905-278-343
Andrea Madrid Mireles,969575049
Jennifer Garrido Mendoza,921394703
Josep Rosas Alonzo,917717897
Pío Leyva Verduzco,905 068 306
Sr. Hermenegildo Rodríguez Ocampo,953-760-496
Marta Serna Serrato,925-198-546
Marta Carranza Arce,993544764
Anni Caraballo Apodaca,966435472
María de los Ángeles Botello Bustos,936.365.753
Daniel Contreras Caldera,991117185
Ana Feliciano Solorzano,985-770-526
Juan Ramón Ordóñez Mascareñas,911136982
Sergi Montalvo Oquendo,938.989.690
Iván Ulloa Burgos,937054583
Ángel Carmona Huerta,971859370
Roser Bustos Benítez,974565693
Ana Garrido Uribe,981 609 026
Rubén Lovato Almonte,994 690 042
Iván Ramírez Jiménez,929-534-606
Sr. Carles Naranjo Delarosa,982 714 388
Sr. Carles Caraballo Gómez,902-713-283
Maica Vaca Valdés,970680585
Maica Rolón Gurule,972-539-157
Sra. Lorena Rivera Bonilla,981 361 452
Andrea Candelaria Trejo,957.702.162
Anni Cortéz Baeza,961.884.698
Sr. Ángel Barrientos Padilla,954 352 116
Hermenegildo Arce Moreno,959 777 149
Sta. Matilde Nájera Cabrera,986.842.538
Maica Valverde Urías,981782414
Maica González Solorzano,999 232 529
Roser Reyna Tamez,936386872
Miguel Preciado Zambrano,969737260
Rubén Solano Padrón,996-787-046
Marta Castillo Rosales,936.192.218
Andrea Quintanilla Fierro,967-224-600
Matilde Aparicio Mesa,950.272.147
Sr. Pablo Anguiano Pelayo,959.978.323
Sergi Roque Acevedo,916.847.082
Roser Orta Guerrero,940-583-036
Juan Ramón Nazario Pedroza,916585552
Anni Maestas Sisneros,911 069 236
Ricardo Brito Montoya,906 639 517
Iván Adorno Delrío,972 347 408
Sta. Laura Espino Alonso,986629765
Sr. Jordi Amador Montañez,960-275-117
Sr. Carles Gómez Calderón,940-080-217
Andrea Frías Gamboa,953624158
Sra. Roser Zavala Valadez,945 068 851
Salvador Blanco Marroquín,903 136 081
Anni Adorno Sánchez,925954857
Ángel Corrales Benavídez,986.566.780
Sr. Ángel Prado Padilla,935-077-506
Ana Arteaga Olivárez,949 910 308
Josep Granado Pelayo,986.596.633
Ricardo Ceja Grijalva,920 102 262
María de los Ángeles Trejo Ochoa,963545667
Jorge Maldonado Nevárez,905951806
Sr. Miguel Berríos Alvarado,950-528-661
Sra. Jennifer Alba Gaytán,957-592-906
Ángel Mota Tello,942-571-274
Anni Solorzano Badillo,996-163-063
Iván Alaníz Medrano,990-260-502
Juan Ramón Lemus Ponce,916.466.509
Daniel Romo Raya,939-735-994
Pedro Raya Arenas,994893066
Daniel Cortéz Bonilla,959 994 020
Sta. María de los Ángeles Ontiveros Cortés,931 432 555
María de los Ángeles Díaz Mota,922 840 089
Laura Grijalva Bañuelos,910849175
Matilde Casares Álvarez,933792931
Pío Jaramillo Contreras,954-389-166
Matilde Puente Covarrubias,922-351-846
Sr. Rubén Archuleta Rivas,950-847-794
María de los Ángeles Loera Galindo,922 825 513
Daniel Avilés Acevedo,965699513
Pedro Meraz Bañuelos,962 538 543
Lorena Solorio Mata,916559315
Hermenegildo Zamora Rosado,984.817.169
Sra. Marta Tijerina Delgado,966.090.531
Maica Samaniego Cisneros,988.771.247
Anni Marroquín Ledesma,984-200-034
Roser Chacón Rincón,910.058.561
Juan Ramón Argüello Meraz,944-504-286
Marta Llamas Aguayo,935-512-745
Iván Ortiz Concepción,994605848
Sr. Pedro Carrera Sotelo,935 298 712
Matilde Navarrete Pizarro,942572309
Anni Contreras Medina,969429060
Sta. Andrea Pérez Terrazas,968-060-785
Andrea Pérez Gálvez,952.056.551
Miguel Guevara Alcalá,993185108
Jorge Valenzuela Aguayo,982569898
Matilde Zepeda Castañeda,933 402 348
Daniel Garibay Galarza,965006357
Marta Gámez Pabón,910-310-647
Maica Badillo Cervantes,992 512 428
Laura Atencio Alcalá,976.838.472
Carles Marrero Negrete,924.605.074
Daniel Loera Escamilla,961 361 250
Ricardo Vallejo Lozada,968898889
Pablo Medrano Quiñones,916 601 919
Andrea Oquendo Sáenz,928508158
Maica Serna Santana,914 250 832
Josep Bravo Enríquez,946734404
Miguel Zamudio Ruelas,910.164.851
Ángel Ayala Alonso,989.732.438
Juan Ramón Márquez Gálvez,964.383.600
Sr. Manuel Pelayo Matías,906275945
Pablo Serrano Dueñas,973 265 669
Ana Pulido Palacios,902.803.339
Iván Rivera Guillén,941928878
Manuel Suárez Mata,955.421.600
Lorena Madrigal Alcántar,926058503
Laura Negrón Morales,925 269 373
Sergi Velasco Trujillo,933 760 474
Roser Ríos Estévez,951.707.062
Matilde Corrales Espinoza,903-687-508
Anni Bonilla Gracia,928 481 124
Anni Alarcón Cano,909 999 217
Marta Velasco Marín,901 814 771
Sr. Pío Cepeda Puente,989.253.873
Sra. Matilde Melgar Orellana,926-739-958
Roser Jiménez Portillo,938.693.812
Manuel de Anda Acevedo,970-038-392
Daniel Córdova Orta,947-287-046
Laura Magaña Pabón,915528053
Daniel Macías Sauceda,948-574-882
Anni Banda Sanabria,992-926-528
Maica Sauceda Solorzano,923 310 584
Marta Atencio Vázquez,928.254.710
Lorena Gálvez Delapaz,955.537.207
Salvador Puente Garay,937 125 427
Manuel Navarrete Montemayor,981.745.274
Pablo Archuleta Enríquez,993 895 864
Matilde Archuleta Cruz,952-221-494
Jorge Garrido Corral,999-601-771
María de los Ángeles Esquibel Navarro,993.941.471
Jordi Nieves Alonso,900.927.064
Jorge Gracia Vergara,953-774-519
Pablo Salazar Arce,951312540
Juan Ramón Riojas Zamora,987368967
Roser Merino Jurado,903-974-362
Lorena Puga Vega,925 654 517
Lorena Pichardo Mora,946-990-646
Juan Ramón Marín Mondragón,939.300.478
Andrea Pérez Blanco,917401099
Pedro Vera Salcedo,944.169.408
Daniel Cárdenas Escamilla,941 378 556
Pablo Maestas Gutiérrez,955.317.031
Juan Ramón Calderón Gaona,987-792-292
Andrea Delarosa Nevárez,963-551-088
Jordi Alva Osorio,953602412
Carles Báez Segovia,966-443-775
Sergi Jáquez Coronado,927.265.668
Jennifer Casas Cano,912-541-411
Rubén Henríquez Santana,960-139-165
Sr. Manuel Montañez Valencia,949099002
Pablo Almonte Toro,934-587-599
Sergi Crespo Cabrera,905452547
Lorena Pantoja Mares,919 514 834
Manuel Muro Muro,985-560-238
Maica Yáñez Gracia,982433085
Laura Roldán Alejandro,988 257 547
Juan Ramón Ybarra Roque,949-320-681
Jordi Santacruz Fernández,988540594
Iván Olivares Lozada,979.765.264
Ángel Muñiz Vaca,975 360 002
Maica Reynoso Cintrón,916129083
Sra. Laura Lozano Mireles,999190736
Matilde Luna Varela,980 581 332
Anni Matías Herrera,934 356 289
Iván Laboy Agosto,933 073 160
Pío Segovia Zaragoza,919 727 881
Pío Hidalgo Maldonado,945.496.207
Marta Hinojosa Sevilla,913.806.581
Salvador Casarez Casares,989-406-957
Ricardo Márquez Olmos,939017682
Juan Ramón Lozano Serrano,963.295.007
Ana Pérez Samaniego,919 211 433
Ángel Velásquez Solorio,994 047 575
Josep Granado Leyva,921204475
Ricardo Guardado Sandoval,993-007-817
Laura Miranda Ayala,983.899.275
Roser Apodaca Salcedo,979 143 833
Pío Cadena León,902 323 188
Rubén Páez Arellano,938.421.585
Matilde Melgar Palomo,965126835
Lorena Berríos Escalante,901411967
Laura Santillán Orosco,956363171
Sergi Gálvez Cornejo,937-276-238
María de los Ángeles Cruz Merino,984 612 903
Ricardo Saavedra Roque,973488739
Daniel Angulo Ybarra,985-584-173
Ana Contreras Miramontes,904027873
Jordi Matos Mireles,993-561-824
Laura Rentería Vallejo,963-687-657
Sta. Marta Bañuelos Alaníz,933-342-036
Jordi Solorio Galarza,966-477-126
Jordi Mendoza Adorno,973.015.532
Miguel Samaniego Calderón,952 785 749
Anni Delgadillo Gaona,936518018
Lorena Almanza Delarosa,973-848-382
Daniel Gallardo Cano,969941199
Maica Arce Arevalo,999607217
Pablo Padilla Gallardo,995-142-367
María de los Ángeles Rascón Ybarra,965-147-558
Daniel Mayorga Garrido,994-445-425
Ángel Olmos Barrios,924 631 531
Sra. Matilde Sosa Lugo,978-324-463
Lorena Jurado Avilés,978-738-590
Rubén Tello Araña,963-938-097
Hermenegildo Tovar Ojeda,927-258-121
Miguel Agosto Negrete,944542600
Anni Alonzo Ruelas,911804467
Rubén Fonseca Nájera,926.603.524
Sr. Sergi Campos Casas,927006433
Sr. Iván Velásquez Lucero,995-521-128
Sr. Carles Báez Cabán,909 719 563
Carles Mares Bueno,926858171
Matilde Centeno Becerra,986-602-898
Iván Corona Rolón,963-397-705
Lorena Ibarra Valles,925261903
Rubén Oquendo Vargas,923690082
Pío Olivera Preciado,917-639-006
Jennifer Galarza Olivares,940-554-451
Manuel Hernández Vaca,983298566
Josep Zarate Quiñones,959932365
Andrea Esquibel Henríquez,995-346-995
Juan Ramón Loya Espinal,946 107 934
Anni Ramos Rolón,943 678 721
Pedro Perales Villagómez,980.783.516
María de los Ángeles Ballesteros Casas,902785898
Ricardo Mireles Patiño,992842522
Anni Granados Carbajal,943-037-285
Iván Nieves Segura,912091067
Rubén Collazo Cintrón,993292819
Juan Ramón Leal Collazo,997668067
Jennifer Montoya Córdova,916808474
Jorge Acuña Acevedo,993087123
Sergi Coronado Ulloa,956-173-052
Maica Leyva Manzanares,951 906 218
Sta. Marta Menchaca Llamas,972 022 727
Jennifer Maya Gastélum,929 967 407
Ángel Toledo Alicea,904 808 513
Pío Carmona Cavazos,956 879 580
Maica Soria Rico,936640329
Matilde Granado Solorzano,916401530
María de los Ángeles Peña Lozano,950442029
Sra. Maica Casanova Molina,995-286-120
Anni Curiel Serna,937.098.180
Ricardo Cedillo Laureano,997-108-698
Miguel Almaráz Pichardo,988-539-361
Ángel Bonilla Bustos,925783407
Laura Mascareñas Villagómez,913.644.875
Ana Irizarry Alarcón,914-756-820
Laura Olivares Beltrán,966-767-536
Pedro Merino Figueroa,907.083.096
Ricardo Quesada Atencio,957602047
Marta Ruíz Mendoza,995165845
Carles Raya Valentín,940 604 761
Andrea Arce Correa,964-395-977
Hermenegildo Matías Santacruz,999 233 385
Jorge Badillo Porras,904-153-845
Laura Villaseñor Bermúdez,923 704 058
Juan Ramón Mateo Velázquez,940743354
Ana Vergara Santiago,978732236
Josep Contreras Bermúdez,986133445
Laura Lovato Gutiérrez,968 425 111
Ana Calderón Bravo,973-944-105
Maica Rico Mojica,935643610
Carles Amador Marrero,914.095.856
Iván Fernández Valladares,905-182-152
Sra. Andrea Flores Urrutia,904.793.764
Ana Domínguez Aguilar,933585945
Laura Garica Borrego,979.185.829
Juan Ramón Mota Marín,919-965-240
Sra. María de los Ángeles Delvalle Castellanos,986 705 419
Anni Mojica Castillo,976.249.239
Maica Velázquez Abreu,979.162.916
Miguel Toledo Velasco,942914630
Laura Murillo Burgos,945-098-394
Andrea Caraballo Sáenz,992-775-118
Ricardo Correa Morales,935628220
Pablo Juárez Prado,933883430
Ricardo Salazar Borrego,934 690 837
Pío Llamas Pichardo,937719057
Lorena de Jesús Sedillo,962.135.809
Jorge Bonilla Armendáriz,992546198
María de los Ángeles Lozada Barela,906238945
Josep Montéz Baca,909.914.200
Jorge Toledo Enríquez,958.555.739
Matilde Benavídez Sandoval,918 110 802
Sra. Matilde Tafoya Ruíz,902 125 284
Marta Nava Lozano,916 881 252
Sra. María de los Ángeles Rivera Salcido,916-809-914
Rubén Solano Arce,975025021
Juan Ramón Flores Laureano,990 607 082
Carles Bustos Hidalgo,948 310 450
Laura Mireles Carbajal,969564100
Hermenegildo Manzanares Merino,906-263-399
Roser Ybarra Zavala,990-919-873
Jorge Pulido Romero,943 738 560
Jennifer Estévez Ozuna,969 554 788
Sta. Roser Cintrón Beltrán,937-057-619
Rubén Paz Rubio,960 115 548
Pablo Baeza Cazares,952-319-033
Sta. Roser Pabón Cruz,994828082
Carles Carrasco Barrera,940 034 657
Roser Alanis Garza,947951627
Maica Zarate Magaña,930.661.610
Andrea Alaníz Delgado,946 075 677
Miguel Burgos Báez,977337136
Ana Cervantes Lozada,947476539
Pablo Salcido Terrazas,997632279
Iván Ojeda Venegas,906018733
Ana Arenas Patiño,932-134-035
Andrea Gaona Roldán,954.442.628
Ricardo Jasso Lebrón,996 479 819
Ángel Zúñiga Arreola,931.509.197
Jennifer Ávalos Castro,949205595
Roser Anaya Bustos,978.693.264
Matilde Laboy Cortés,965 684 205
Jordi Salinas Muro,946898635
Ana Olivera Barreto,911.363.718
María de los Ángeles Carreón Arevalo,988 675 298
Anni Gaitán Rangel,966.691.286
Rubén Heredia Espinoza,986-913-852
Ana Hinojosa Barajas,999-729-286
Maica Escalante Verduzco,984 643 244
Iván Otero Agosto,950-229-943
Laura Abreu Chapa,950.875.229
Maica Ordóñez Cadena,928-697-164
Sergi Arreola Casas,947-696-275
Miguel Mena Laboy,908-673-282
Miguel Barragán de Anda,933584269
Andrea Munguía Blanco,971-426-383
Sta. Matilde Sanabria Ybarra,914004163
Sergi Ybarra Ávalos,959.076.539
Juan Ramón Ordóñez Ortiz,921.556.117
Salvador Duarte Menéndez,941 518 547
Matilde Pabón Escamilla,985.202.175
Jennifer Fonseca Deleón,924-364-002
Rubén López Terrazas,967-902-263
Jorge Navarrete Cardona,984.339.458
Andrea Ybarra Tamayo,982580866
Lorena Galindo Preciado,954.311.588
Andrea Urrutia Arevalo,933731488
Jennifer Leyva Zarate,982 381 471
Pablo Heredia Ojeda,924455248
Sta. Matilde Delatorre Navarrete,904-860-593
Pío Cortés Álvarez,946.403.245
Pablo Urrutia Leal,986-234-572
Laura Barela Pantoja,965-207-547
Anni Valle Cabán,906-042-392
Iván Almanza Barrera,934-597-170
Matilde Mateo Vigil,976.323.899
Anni Caldera Arellano,907-133-039
Anni Oquendo Lebrón,976 470 592
Ana Páez Calderón,965361389
María de los Ángeles Gracia Blanco,985782029
Pedro Anaya Garrido,905 570 060
Carles Cervantes Centeno,991.707.176
Manuel Jaimes Sarabia,981569383
Marta Baeza Valdivia,959 102 247
Laura Macías Ulloa,986 216 399
Anni Segovia Becerra,944959747
Laura Martínez Matías,914 409 286
Maica Noriega Segovia,939 337 769
Roser Ruíz Martínez,996-936-854
Andrea Cárdenas Abrego,969.500.870
Ana Mondragón Reséndez,921.242.493
Andrea Salcido Irizarry,908777652
Sr. Ricardo García Morales,915 579 540
Matilde Portillo Mares,903691312
Andrea Gastélum Almonte,919 606 633
Miguel Fuentes Estévez,955-584-761
María de los Ángeles Salcido Posada,954.911.309
Daniel Manzanares Ceja,980.359.121
Pablo Díaz Páez,988-642-457
María de los Ángeles Orta Tovar,927 459 968
Lorena Cortés Malave,983-759-008
Jennifer Polanco Abreu,943 949 614
Ana Guzmán Verduzco,946.870.648
Josep Molina Meza,980 400 363
Ángel Lozada Reyes,991.266.891
Lorena Salgado Montes,924624403
Lorena Tejada Serna,931750022
Matilde Gómez Pelayo,993002555
Roser Avilés Leiva,948-847-624
Anni Olivares Benavídez,902-343-243
Lorena Montemayor Concepción,933-306-090
Andrea Benítez Valdez,910 292 882
Rubén Matos Ramos,906.491.400
Pedro Alonzo Amaya,963601638
Sta. Ana Montoya Canales,916905060
Jorge Pineda Pedraza,973 877 571
Sergi Mateo Blanco,988852994
Jennifer Urbina Jaramillo,987 441 498
Manuel Peralta Nevárez,991.832.592
Marta Aponte Reynoso,968-284-585
Anni Villegas Sepúlveda,934.132.391
María de los Ángeles Blanco Guardado,908 201 605
Jennifer Márquez Ochoa,922895626
Jordi Solís Barrera,964 223 422
Jennifer Pedraza Rolón,934 811 031
Marta Canales Maldonado,903.447.805
Anni Aragón Delacrúz,996 849 986
Pío Sosa Carbajal,959 032 233
Sr. Sergi Bañuelos Ibarra,950.691.435
Pío Solís Otero,969-935-778
María de los Ángeles Campos Treviño,906 716 148
Lorena Alemán Deleón,998543040
Lorena Lebrón Godoy,921-075-382
Ricardo Saiz Gallegos,966874522
Hermenegildo Aguilar Altamirano,996-006-828
Pablo Robledo Cervántez,919 539 067
Pablo Salas Prado,974 917 679
Andrea Solorzano Patiño,947-331-715
Jennifer Huerta Montoya,948189676
Rubén Armenta Ledesma,982-808-394
Jorge Zepeda Tirado,969 201 311
Maica Mireles Delapaz,909907712
Ana Carbajal Zapata,925.826.033
Ana Lucero Portillo,963-863-237
Lorena Orozco Guzmán,947.295.224
Sta. Anni Leal Guajardo,912 117 456
Roser Ledesma Patiño,914.677.529
Roser Badillo Serna,919.054.485
Pío Mena Henríquez,961.486.645
Jordi Almanza Camacho,901-893-832
Anni Leyva Garay,910846375
Maica Garibay Tovar,961 026 467
Ricardo Vigil Armendáriz,992.182.267
Pío Sisneros Cadena,961495343
Andrea Carvajal Casanova,982-737-550
Jorge Salazar Orta,942-758-183
Sergi Ureña Echevarría,966.112.463
Jennifer Tello Delatorre,939.836.687
Pedro Lucero Urías,902.077.815
Manuel Tórrez Armijo,969-992-916
Matilde Pagan Torres,972333509
Ricardo Ulibarri Véliz,984 195 885
Hermenegildo Arias Treviño,954086158
Sergi Rentería Díaz,949178550
Pedro Alcántar Parra,915 338 881
Ángel Quintero Coronado,985 986 447
Anni Calderón Serrato,910-129-345
Pablo Partida Vanegas,953.454.253
Roser Navarrete Quintana,998.251.008
Sta. Roser Pedroza Padrón,927053990
Sr. Josep Quintanilla Irizarry,928161082
Pedro Burgos Montero,930264098
Salvador Estrada Garza,957-162-287
Ana Porras Velázquez,939009172
Carles Sosa Agosto,986 081 282
Ricardo Curiel Sauceda,965.895.698
Ana Briones Alonso,958 397 839
Iván Garza Bermúdez,907-433-107
Juan Ramón Camacho Olivares,994746887
Jordi Reynoso Lucio,907256931
Maica Hinojosa Gallardo,925.667.508
Pío Salcido Meraz,952 928 475
Maica Montemayor Llamas,973-442-226
Maica Sarabia Ríos,958-767-328
Iván Castañeda Olivárez,973-075-375
Juan Ramón Corrales Serna,939-100-660
Sta. Andrea Candelaria Matos,901711758
Marta Ponce Muñoz,973 384 020
Marta Alvarado Lara,966992259
Jorge Cadena Cazares,900-089-721
Rubén Alemán Nevárez,911-381-011
Pedro Ceballos Vergara,947459856
María de los Ángeles Manzanares Avilés,929-364-842
Andrea Caraballo Quesada,981 428 696
Maica Tello Briones,926-704-622
Pedro Barragán Zelaya,930-154-243
Sergi Medina Guerra,940-908-881
Carles Vallejo Ruíz,984713430
Manuel Moreno Garza,974 462 255
Maica Martínez León,991.465.628
Marta Cavazos Hidalgo,966.280.544
Jorge Ordóñez Báez,970.824.669
Manuel Rosado Delgado,901.848.228
Sra. Andrea Crespo Rosario,945867794
Marta Murillo Mendoza,964-365-268
Ricardo Martínez Gurule,977074074
Josep Cortés Villalobos,939 189 201
Laura Villegas Mayorga,987-983-221
Jorge Carrillo Salgado,971 034 921
Sra. Lorena Tijerina Tovar,943-811-932
Rubén Cervántez Porras,953-820-985
Sra. Laura Galván Valencia,954037089
Manuel Cabrera Vázquez,988-857-427
Pío Hidalgo Cárdenas,929-929-605
Roser Aparicio Toledo,923-205-392
Miguel Prieto Galarza,910 754 292
Miguel Garica Olmos,959816913
Maica Orozco Velasco,961771655
Sta. Anni Alfaro Valverde,949.181.055
Miguel Malave Escobedo,953-548-347
Iván Carmona Echevarría,969955687
Carles Viera Abreu,959-926-068
Ana Vargas Almaráz,941-055-583
Hermenegildo Gamboa Casillas,907 423 735
Manuel Ramírez Menchaca,966 452 261
Juan Ramón Tejeda Guillén,905-090-810
María de los Ángeles Urrutia Ybarra,978.855.168
Manuel Correa Márquez,945.139.453
Roser Verduzco Rubio,902.814.543
Josep Adorno Altamirano,987.740.949
Jennifer Mireles Cabrera,982 787 128
Ángel Jaime Esquivel,910 522 512
Marta Pantoja Montero,965710827
Roser Madera Echevarría,952.936.253
Josep Serrano Ruíz,906 758 134
Pedro Castro Sarabia,944 874 225
Rubén Magaña Bustamante,994-567-232
Juan Ramón Alcaraz Noriega,901.803.625
Ana Delvalle Tafoya,966-366-453
Jennifer Bahena Tamayo,919 360 393
Marta Guzmán Dueñas,928.162.827
Lorena Quiñónez Fernández,969-904-880
Laura Verduzco Chapa,901738110
Sr. Carles Baca Rosales,938673226
Daniel Perales Leal,950.761.745
Maica Olivo Tejada,930-925-692
Sergi Rentería Almanza,922 040 039
Marta Villalobos Collado,949449832
Pío Ontiveros Ocasio,982.835.948
Jennifer Rivera Corona,916 762 911
Sr. Pablo Rocha Calderón,912.310.576
Salvador Collado Arce,966-640-402
Lorena Rodarte Carrera,930662053
Matilde Urbina Monroy,912-895-380
Matilde Madrid León,963219007
Sta. Laura Cisneros Rael,917447992
María de los Ángeles Bueno Gallegos,996930394
Jordi Salinas Quezada,979 716 056
Ana Carrión Ordóñez,922551823
Jordi Soliz Rivas,903.299.156
Hermenegildo Aguilera Gamboa,964919943
Andrea Enríquez Mondragón,938-867-372
Anni Arellano Corrales,997854290
Sergi Villalobos Esparza,956 216 061
Matilde Blanco Casanova,916.733.656
Manuel Puga Mascareñas,943.892.233
Andrea Moreno Tapia,906 620 026
Ángel Maestas Montañez,902 820 955
Marta Véliz Saiz,937-673-757
Marta Carranza Zavala,922 728 585
Sra. Marta Paz Longoria,978.293.924
Sra. Maica Tafoya Aponte,980651419
Ángel Correa Aguayo,907-945-030
Matilde Valencia Estrada,948.320.324
Maica Delao Prado,938823647
Anni Galván Ulibarri,926.856.635
Anni Alarcón Guajardo,973920361
Sra. Ana Sosa Meléndez,990 167 226
Daniel Domínguez Valdez,903 528 028
Pablo Carrasquillo Archuleta,965 340 131
Pío Vallejo Bueno,958608630
Carles Anguiano Sandoval,911 534 175
Anni Sotelo López,974 967 522
Andrea Araña Romero,910-941-520
Andrea Ulibarri Valenzuela,947.615.158
Sra. Jennifer Brito Ríos,954.573.530
María de los Ángeles Acuña Guzmán,973.862.216
Daniel Meraz Mercado,934 355 421
Manuel Malave Correa,998.402.395
Juan Ramón Carvajal Núñez,924-449-735
Carles Laureano Alcaraz,930-068-948
Marta Aguilar Orosco,953.204.058
Ana Villalobos Rosario,958 480 240
Laura Ledesma Muñiz,908.200.908
Sta. María de los Ángeles Raya Maldonado,947545192
Ana Alvarado Ojeda,963-628-108
Pío Bravo Sánchez,922879291
Lorena Valdés Ruíz,974-812-298
Jennifer Salcedo Barrios,927 474 476
Iván Alicea Ceja,954.860.292
Maica Linares Cuellar,977 247 522
Pedro Nava Jasso,959.070.270
Lorena Gamboa Torres,964-065-371
Pío Gómez Rubio,962 181 355
María de los Ángeles Adorno Barreto,964618817
Pedro Molina Delagarza,941739164
Jennifer Contreras Madera,958300565
Josep Merino Delafuente,993177640
Matilde Montes Angulo,933-456-129
Juan Ramón Téllez Serrato,919-729-474
Juan Ramón Terán Aguayo,926693703
Andrea Bustamante Montalvo,977 135 026
Matilde Llamas Arreola,902-410-116
Maica López González,902163911
Sergi Almanza Zayas,988345119
María de los Ángeles Abeyta Marroquín,902-012-747
Roser Cadena Pérez,987-334-276
Maica Gálvez Madrigal,948.836.649
Ángel Vigil Pedroza,985419813
Sr. Juan Ramón Figueroa Ornelas,983 796 982
Jordi López Concepción,942.581.023
Juan Ramón Palomino Ríos,912568751
Lorena Figueroa Lozada,956.856.603
Pío Carranza Carrasquillo,930 884 563
Ana Pabón Parra,903 502 262
Matilde Piña Casas,934005871
Matilde Osorio Pedraza,939 371 350
María de los Ángeles Villaseñor Solorzano,962937416
Anni Aguirre Caraballo,921-360-052
Lorena Nava Paz,973676790
Hermenegildo Puente Moreno,902 307 628
Sra. Maica Cardona Viera,957251919
Ricardo Almonte Rivera,911 768 135
Lorena Alcaraz Chavarría,967-274-953
Salvador Benavides Carrión,996263391
Rubén Lebrón Zepeda,991 054 579
Marta Ochoa Madrid,986 847 099
Matilde Miranda Alonso,970.413.707
Ángel Delao Hernández,984064141
Pedro Trejo Partida,937-913-453
Laura Alejandro Longoria,970 904 522
Rubén Mata Baca,972 175 792
Jordi Huerta Herrera,981-089-377
Manuel Flores Herrera,983-944-285
Sergi Saldivar Olvera,983-783-054
Roser Vallejo Girón,993-682-220
Juan Ramón Palacios Serrano,913-464-146
Ángel Madrid Rosales,957-514-940
Jennifer Gurule Muñoz,964.691.300
Salvador Orozco Puga,902 915 762
Pablo Espinal Casarez,929.771.436
Ángel Ocampo Galindo,921106671
Matilde Vaca Correa,980 748 725
Pedro Fuentes Delgadillo,938.698.452
Iván Corona Zamudio,953896367
Marta Hernández Rico,978819412
Sr. Ricardo Vaca Olivares,986-122-509
Pío Gurule Godoy,967 192 465
Marta Lozano Alonzo,985526937
Laura Delgado Caldera,943 468 336
Andrea Reséndez Urrutia,996028357
María de los Ángeles Macías Matías,960 690 009
Ricardo Delao Roybal,967-837-238
Lorena Lerma Colunga,903.704.457
Miguel Delao Espinoza,925 984 973
Sr. Carles Zamora Rico,991.797.522
Salvador Canales Otero,992 319 110
Miguel Alarcón Niño,909-178-920
Marta Rentería Garrido,955.617.249
Anni Pacheco Tijerina,953 999 305
Ana Valdez Trujillo,935 978 471
Sra. Maica Ontiveros Curiel,998 598 114
Daniel Sierra Centeno,935-400-148
Ana Rocha Pedroza,904.765.048
Laura Rivera Tapia,969-369-976
Matilde Villegas Ibarra,926 629 874
Marta Narváez Almonte,916 757 799
Hermenegildo Robles Salcedo,920182547
Matilde Zamora Dueñas,979-626-076
María de los Ángeles Fuentes Bonilla,984 349 526
Matilde Girón Guajardo,996.396.941
Ana Feliciano Navarro,983-705-338
Laura Figueroa Ulloa,928 387 713
Sr. Carles Esquivel Valdés,940 849 441
Daniel Manzanares Betancourt,923-407-327
Roser Viera Alcalá,977.968.478
Matilde Jaime Sotelo,924037210
Matilde Archuleta Estrada,968 304 144
Jennifer Muñiz Alcaraz,937.351.965
Iván Ávalos Miranda,990785313
Laura Muñoz Acosta,926533976
